Benchmark/0-4                  	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.18 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.20 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.17 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.18 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.17 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4                  	10000000	       127 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       128 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       127 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       127 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       127 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       130 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       127 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       128 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       127 ns/op	     128 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       127 ns/op	     128 B/op	       3 allocs/op
Benchmark/10-4                 	 3000000	       461 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       462 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       461 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       465 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       462 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       461 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       467 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       462 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       461 ns/op	     528 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       465 ns/op	     528 B/op	      13 allocs/op
Benchmark/100-4                	  500000	      3857 ns/op	    7088 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3861 ns/op	    7088 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3913 ns/op	    7088 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3849 ns/op	    7088 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3849 ns/op	    7088 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3893 ns/op	    7088 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3845 ns/op	    7088 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3839 ns/op	    7088 B/op	     105 allocs/op
