Benchmark/0-4                  	2000000000	         1.47 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.44 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.46 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                  	2000000000	         1.46 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4                  	20000000	       120 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       120 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       119 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	10000000	       119 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	20000000	       120 ns/op	      96 B/op	       3 allocs/op
Benchmark/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
Benchmark/10-4                 	 3000000	       421 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       421 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       421 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       420 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       427 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       423 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       420 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       420 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       420 ns/op	     368 B/op	      13 allocs/op
Benchmark/10-4                 	 3000000	       422 ns/op	     368 B/op	      13 allocs/op
Benchmark/100-4                	  500000	      3304 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3323 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3308 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3300 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3301 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3325 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3309 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3311 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3325 ns/op	    4368 B/op	     105 allocs/op
Benchmark/100-4                	  500000	      3305 ns/op	    4368 B/op	     105 allocs/op
Benchmark/1000-4               	   50000	     26657 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     26645 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     26843 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     26800 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     26741 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     26933 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     27006 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     26814 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     26662 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/1000-4               	   50000	     26762 ns/op	   26960 B/op	    1006 allocs/op
Benchmark/10000-4              	    5000	    261178 ns/op	  245120 B/op	   10024 allocs/op
Benchmark/10000-4              	    5000	    262491 ns/op	  245120 B/op	   10024 allocs/op
Benchmark/10000-4              	    5000	    263412 ns/op	  245120 B/op	   10024 allocs/op
Benchmark/10000-4              	    5000	    261525 ns/op	  245120 B/op	   10024 allocs/op
