Benchmark/0-4 	300000000	         4.33 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.36 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.37 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.34 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.34 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.35 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.37 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.34 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.36 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.35 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4 	 5000000	       281 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       285 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       281 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       282 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       281 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       284 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       283 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       281 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       291 ns/op	     224 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       281 ns/op	     224 B/op	       9 allocs/op
Benchmark/10-4         	 1000000	      2030 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2036 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2028 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2024 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2055 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2038 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2029 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2038 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2028 ns/op	    1488 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      2038 ns/op	    1488 B/op	      73 allocs/op
Benchmark/100-4        	  100000	     18450 ns/op	   16688 B/op	     705 allocs/op
