Benchmark/0-4 	300000000	         4.35 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.34 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.42 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.35 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.33 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.38 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.36 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.34 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.34 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4 	300000000	         4.39 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4 	 5000000	       274 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       276 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       273 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       276 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       275 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       273 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       272 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       274 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       274 ns/op	     192 B/op	       9 allocs/op
Benchmark/1-4 	 5000000	       273 ns/op	     192 B/op	       9 allocs/op
Benchmark/10-4         	 1000000	      1949 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1953 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1936 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1942 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1952 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1939 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1941 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1954 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1939 ns/op	    1328 B/op	      73 allocs/op
Benchmark/10-4         	 1000000	      1943 ns/op	    1328 B/op	      73 allocs/op
Benchmark/100-4        	  100000	     17913 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17561 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17582 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17820 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17588 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17612 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17650 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17531 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17533 ns/op	   13968 B/op	     705 allocs/op
Benchmark/100-4        	  100000	     17722 ns/op	   13968 B/op	     705 allocs/op
Benchmark/1000-4       	   10000	    167305 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    167589 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    167954 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    169796 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    167669 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    167828 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    169783 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    169489 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    167644 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/1000-4       	   10000	    167920 ns/op	  122960 B/op	    7006 allocs/op
Benchmark/10000-4      	    1000	   1706019 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1697084 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1697715 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1714980 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1693497 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1696861 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1714218 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1724518 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1710259 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/10000-4      	    1000	   1750090 ns/op	 1205120 B/op	   70024 allocs/op
Benchmark/100000-4     	     100	  18566229 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18574613 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18975796 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18763323 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18685597 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18659485 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18700990 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18573601 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18910575 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/100000-4     	     100	  18722950 ns/op	12010240 B/op	  700200 allocs/op
Benchmark/1000000-4    	       5	 203621323 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	       5	 212064651 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	       5	 201914771 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	      10	 203237756 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	       5	 200753621 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	       5	 209282400 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	       5	 208278434 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	      10	 204755712 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	       5	 212403153 ns/op	120053200 B/op	 7001958 allocs/op
Benchmark/1000000-4    	       5	 208084673 ns/op	120053200 B/op	 7001958 allocs/op
