Benchmark/0-4            	100000000	        13.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4            	 5000000	       301 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       291 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       286 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       303 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       289 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       293 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       290 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       294 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       295 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       291 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4           	  500000	      2795 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2856 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2828 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2777 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2906 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2782 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2884 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2840 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2971 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2789 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4          	   50000	     27127 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     26846 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     26886 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     27733 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     27046 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     27091 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     26945 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     27111 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     26825 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     27172 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4         	    5000	    272438 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    267479 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    271393 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    277508 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    275391 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    270458 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    272102 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    265344 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    279125 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    264924 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4        	     500	   2726289 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	     500	   2704841 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	     500	   2699026 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	     500	   2675140 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	     500	   2672073 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	     500	   2715405 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	     500	   2723743 ns/op	 1600000 B/op	  100000 allocs/op
