Benchmark/0-4            	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4            	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4            	 5000000	       302 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       296 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       310 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       327 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       316 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       296 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       298 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       312 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       295 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4            	 5000000	       308 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4           	  500000	      3043 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2976 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      3017 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2981 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      3174 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      3137 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      3231 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      2976 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      3119 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	  500000	      3170 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4          	   50000	     30529 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     29412 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     27703 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     28615 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     28524 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     30281 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     29059 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     28029 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     31110 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	   50000	     29546 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4         	    5000	    300575 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    287955 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    309747 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    289215 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    326803 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    287382 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    305286 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    304918 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    293927 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	    5000	    293472 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4        	     500	   2753881 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	     500	   2772033 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	     500	   2720426 ns/op	 1600000 B/op	  100000 allocs/op
