Benchmark/0-4                	100000000	        16.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        16.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4                	 5000000	       274 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       277 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       277 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       274 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       275 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       272 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       274 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       275 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       277 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       273 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	  500000	      2642 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2574 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2588 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2607 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2640 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2590 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2591 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2613 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2601 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2599 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	   50000	     25251 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     25003 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     25734 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     25086 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     25160 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     25160 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     25728 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24899 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     25269 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     25015 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	    5000	    249464 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    247434 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    247253 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    248399 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    247956 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    249640 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    249177 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    248289 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    247417 ns/op	  160004 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    250296 ns/op	  160004 B/op	   10000 allocs/op
