Benchmark/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4                	 5000000	       262 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       262 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       263 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       269 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       264 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       261 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       263 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       261 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       262 ns/op	     160 B/op	      10 allocs/op
Benchmark/1-4                	 5000000	       261 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	  500000	      2594 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2541 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2563 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2532 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2542 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2563 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2528 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2577 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2525 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	  500000	      2548 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	   50000	     24651 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24758 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24781 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24756 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24824 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24727 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24532 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24747 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24859 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	   50000	     24786 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	    5000	    245883 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    248519 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    246191 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    251358 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    246283 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    245774 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    242784 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    242260 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    249512 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/1000-4             	    5000	    242591 ns/op	  160002 B/op	   10000 allocs/op
Benchmark/10000-4            	     500	   3242002 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   3176794 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   2980330 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   2977332 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   3116661 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   3097510 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   2870829 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   3057686 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   3069586 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/10000-4            	     500	   3257396 ns/op	 1600170 B/op	  100000 allocs/op
Benchmark/100000-4           	      50	  28140975 ns/op	16016204 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  27267937 ns/op	16016204 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  28578945 ns/op	16016204 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  29942551 ns/op	16016204 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  28020171 ns/op	16016204 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  26897389 ns/op	16016204 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  27764587 ns/op	16016210 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  27625753 ns/op	16016204 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  26407314 ns/op	16016208 B/op	 1000004 allocs/op
Benchmark/100000-4           	      50	  26183223 ns/op	16016204 B/op	 1000004 allocs/op
Benchmark/1000000-4          	       3	 368721859 ns/op	162684400 B/op	10000652 allocs/op
Benchmark/1000000-4          	       3	 384576285 ns/op	162684400 B/op	10000652 allocs/op
Benchmark/1000000-4          	       3	 355507217 ns/op	162684400 B/op	10000652 allocs/op
Benchmark/1000000-4          	       3	 382629624 ns/op	162684400 B/op	10000652 allocs/op
Benchmark/1000000-4          	       5	 386370979 ns/op	161610640 B/op	10000391 allocs/op
Benchmark/1000000-4          	       3	 384981390 ns/op	162684400 B/op	10000652 allocs/op
Benchmark/1000000-4          	       3	 407860386 ns/op	162684400 B/op	10000652 allocs/op
Benchmark/1000000-4          	       3	 365538869 ns/op	162684400 B/op	10000652 allocs/op
Benchmark/1000000-4          	       3	 425226446 ns/op	162684400 B/op	10000652 allocs/op
Benchmark/1000000-4          	       3	 409734043 ns/op	162684400 B/op	10000652 allocs/op
