Benchmark/0-4          	2000000000	         0.91 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.95 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.89 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.94 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4          	50000000	        30.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        29.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        29.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        29.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        31.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        30.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        30.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        30.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        32.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       296 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       299 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       301 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       300 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       304 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       299 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       296 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       300 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       297 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       297 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      2911 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2918 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2914 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2907 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2890 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2899 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2882 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2897 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2834 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2901 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     28461 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     28615 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     28963 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     28159 ns/op	   16000 B/op	    1000 allocs/op
