Benchmark/0-4          	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.59 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.59 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4          	50000000	        28.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        28.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       288 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       287 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       289 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       287 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       286 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       287 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       288 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       285 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       289 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       285 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      2795 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2804 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2796 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3019 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2846 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2866 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2829 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2797 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2810 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      2872 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     27764 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     27921 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     27974 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     27962 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     27670 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     27960 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     27753 ns/op	   16000 B/op	    1000 allocs/op
