Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.17 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.17 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4          	10000000	       150 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       149 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       150 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       150 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       152 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       160 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       151 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       152 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       153 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       150 ns/op	     144 B/op	       4 allocs/op
Benchmark/10-4         	 2000000	       726 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       721 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       720 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       726 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       719 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       726 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       718 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       742 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       728 ns/op	     688 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       761 ns/op	     688 B/op	      23 allocs/op
Benchmark/100-4        	  200000	      6722 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6421 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6451 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6385 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6351 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6304 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6558 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6600 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6523 ns/op	    8688 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      6489 ns/op	    8688 B/op	     205 allocs/op
Benchmark/1000-4       	   30000	     58647 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     56901 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     57516 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   20000	     56423 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     55346 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     56877 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     56455 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     56449 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     54207 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     54343 ns/op	   53872 B/op	    2006 allocs/op
Benchmark/10000-4      	    3000	    540664 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    532520 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    541791 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    547151 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    540917 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    598662 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    567715 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    555961 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    588818 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    529432 ns/op	  489760 B/op	   20024 allocs/op
Benchmark/100000-4     	     200	   8185924 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   7723061 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   8333672 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   7928721 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   8092463 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   8360770 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   7961571 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   7146089 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   7937414 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/100000-4     	     200	   7628023 ns/op	 4815776 B/op	  200200 allocs/op
Benchmark/1000000-4    	      20	  75032933 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  74374690 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  75899322 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  76193934 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  85649267 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  74611167 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  75438330 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  79488525 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  93248747 ns/op	48059504 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  74015348 ns/op	48059504 B/op	 2001958 allocs/op
