Benchmark/0-4          	2000000000	         1.23 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.17 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.18 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.16 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4          	2000000000	         1.15 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4          	10000000	       144 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       144 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       144 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       144 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       143 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       143 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       144 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       143 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       143 ns/op	     112 B/op	       4 allocs/op
Benchmark/1-4          	10000000	       144 ns/op	     112 B/op	       4 allocs/op
Benchmark/10-4         	 2000000	       686 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       679 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       683 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       680 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       686 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       682 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       679 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       682 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       682 ns/op	     528 B/op	      23 allocs/op
Benchmark/10-4         	 2000000	       680 ns/op	     528 B/op	      23 allocs/op
Benchmark/100-4        	  300000	      5712 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  300000	      5688 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  300000	      5679 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  300000	      5726 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  300000	      5682 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  300000	      5687 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  300000	      5705 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  200000	      5710 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  300000	      5683 ns/op	    5968 B/op	     205 allocs/op
Benchmark/100-4        	  300000	      5681 ns/op	    5968 B/op	     205 allocs/op
Benchmark/1000-4       	   30000	     50609 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50258 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50086 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50651 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50308 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50240 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50508 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50220 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50300 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/1000-4       	   30000	     50487 ns/op	   42960 B/op	    2006 allocs/op
Benchmark/10000-4      	    3000	    506752 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    507717 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    508625 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    512650 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    507720 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    507950 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    505248 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    2000	    509403 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    505965 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/10000-4      	    3000	    505495 ns/op	  405120 B/op	   20024 allocs/op
Benchmark/100000-4     	     300	   4957259 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4953586 ns/op	 4010241 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4910450 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4963267 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4933080 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4920971 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4955281 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4921666 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4928662 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/100000-4     	     300	   4990077 ns/op	 4010240 B/op	  200200 allocs/op
Benchmark/1000000-4    	      20	  77951560 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  69779518 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  99248484 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  77188947 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  65475808 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  85720268 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  69787881 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  77239690 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  64876538 ns/op	40053200 B/op	 2001958 allocs/op
Benchmark/1000000-4    	      20	  70145916 ns/op	40053200 B/op	 2001958 allocs/op
