Benchmark/0-4                	2000000000	         0.59 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.58 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4                	50000000	        28.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       277 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       281 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       281 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       286 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       280 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       286 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       302 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       274 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       272 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       281 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      2736 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2773 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2749 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2769 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2724 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2726 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2745 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2806 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2796 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2698 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     26306 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     27432 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     27138 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     27104 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28008 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     27974 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     28362 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     27244 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     26693 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     27668 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    281277 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    271864 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    268935 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    267547 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    277480 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    280926 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    275181 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    270598 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    275063 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    283473 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     500	   2824080 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2779530 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2832191 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2808370 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2712468 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2703866 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2638875 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2680004 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2662456 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   2705890 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      50	  26876456 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  27551302 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  27592846 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  27605840 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  26989058 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  27498850 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  27269342 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  26746258 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  27392453 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  28173142 ns/op	16000000 B/op	 1000000 allocs/op
