Benchmark/0-4                	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.87 ns/op	       0 B/op	       0 allocs/op
Benchmark/0-4                	2000000000	         0.88 ns/op	       0 B/op	       0 allocs/op
Benchmark/1-4                	50000000	        28.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        27.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        30.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        31.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        29.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        28.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       286 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       312 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       267 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       297 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       293 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       285 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       288 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       299 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       290 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       293 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      2770 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2912 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3002 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2858 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2695 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      2894 ns/op	    1600 B/op	     100 allocs/op
